#Gene	Rank	# rare mutations	avg # rare mutations per sample	# rare truncating mutations	avg # truncating mutations per sample
ATP13A3	5224	10	0.0091324200913242	0	0
FSCN3	5225	10	0.0091324200913242	1	0.00091324200913242
DCLK1	5226	10	0.0091324200913242	3	0.00273972602739726
NRIP1	5227	10	0.0091324200913242	0	0
HYI	5228	10	0.0091324200913242	4	0.00365296803652968
HDAC9	5229	10	0.0091324200913242	1	0.00091324200913242
FAM149A	5230	10	0.0091324200913242	2	0.00182648401826484
NELFB	5231	10	0.0091324200913242	1	0.00091324200913242
SLC7A10	5232	10	0.0091324200913242	2	0.00182648401826484
B3GNT1	5233	10	0.0091324200913242	1	0.00091324200913242
ZNF621	5234	10	0.0091324200913242	0	0
ZFP82	5235	10	0.0091324200913242	0	0
DROSHA	5236	10	0.0091324200913242	2	0.00182648401826484
TLDC1	5237	10	0.0091324200913242	0	0
CORO6	5238	10	0.0091324200913242	0	0
DACH2	5239	10	0.0091324200913242	1	0.00091324200913242
KLF1	5240	10	0.0091324200913242	1	0.00091324200913242
CAMKMT	5241	10	0.0091324200913242	2	0.00182648401826484
TREX2	5242	10	0.0091324200913242	1	0.00091324200913242
EPB41	5243	10	0.0091324200913242	0	0
FAM83G	5244	10	0.0091324200913242	4	0.00365296803652968
FAM47C	5245	10	0.0091324200913242	0	0
MAGI2	5246	10	0.0091324200913242	2	0.00182648401826484
NELL1	5247	10	0.0091324200913242	0	0
LAS1L	5248	10	0.0091324200913242	3	0.00273972602739726
HSF1	5249	10	0.0091324200913242	0	0
TMEM161A	5250	10	0.0091324200913242	1	0.00091324200913242
ATAT1	5251	10	0.0091324200913242	2	0.00182648401826484
ALG3	5252	10	0.0091324200913242	0	0
PCDHB3	5253	10	0.0091324200913242	0	0
CR2	5254	10	0.0091324200913242	3	0.00273972602739726
KIAA2013	5255	10	0.0091324200913242	0	0
PKM	5256	10	0.0091324200913242	2	0.00182648401826484
RALGAPA1	5257	10	0.0091324200913242	1	0.00091324200913242
C1ORF177	5258	10	0.0091324200913242	2	0.00182648401826484
HGSNAT	5259	10	0.0091324200913242	1	0.00091324200913242
STRN	5260	10	0.0091324200913242	1	0.00091324200913242
KCNN4	5261	10	0.0091324200913242	1	0.00091324200913242
SLCO4C1	5262	10	0.0091324200913242	3	0.00273972602739726
WDR93	5263	10	0.0091324200913242	2	0.00182648401826484
CTSC	5264	10	0.0091324200913242	0	0
APBB2	5265	9	0.00821917808219178	0	0
GP1BA	5266	9	0.00821917808219178	2	0.00182648401826484
ZEB1	5267	9	0.00821917808219178	2	0.00182648401826484
ARID3C	5268	9	0.00821917808219178	3	0.00273972602739726
BANK1	5269	9	0.00821917808219178	3	0.00273972602739726
ABCD4	5270	9	0.00821917808219178	0	0
ZNF83	5271	9	0.00821917808219178	1	0.00091324200913242
RNF223	5272	9	0.00821917808219178	0	0
RMND5B	5273	9	0.00821917808219178	0	0
EMC1	5274	9	0.00821917808219178	3	0.00273972602739726
COQ9	5275	9	0.00821917808219178	0	0
SEC14L1	5276	9	0.00821917808219178	0	0
NME8	5277	9	0.00821917808219178	3	0.00273972602739726
SEC23IP	5278	9	0.00821917808219178	0	0
RICTOR	5279	9	0.00821917808219178	0	0
ASNSD1	5280	9	0.00821917808219178	2	0.00182648401826484
PRPF3	5281	9	0.00821917808219178	2	0.00182648401826484
KLF4	5282	9	0.00821917808219178	0	0
CENPJ	5283	9	0.00821917808219178	3	0.00273972602739726
TRIM45	5284	9	0.00821917808219178	3	0.00273972602739726
CPD	5285	9	0.00821917808219178	1	0.00091324200913242
ZNF614	5286	9	0.00821917808219178	1	0.00091324200913242
PHF12	5287	9	0.00821917808219178	0	0
WNT10B	5288	9	0.00821917808219178	1	0.00091324200913242
NLRP9	5289	9	0.00821917808219178	1	0.00091324200913242
CRTAP	5290	9	0.00821917808219178	1	0.00091324200913242
BLVRB	5291	9	0.00821917808219178	0	0
FAM13A	5292	9	0.00821917808219178	2	0.00182648401826484
TDP1	5293	9	0.00821917808219178	1	0.00091324200913242
ZNF775	5294	9	0.00821917808219178	1	0.00091324200913242
KRTAP10-5	5295	9	0.00821917808219178	1	0.00091324200913242
EXOC4	5296	9	0.00821917808219178	0	0
LMNB1	5297	9	0.00821917808219178	2	0.00182648401826484
KRTCAP3	5298	9	0.00821917808219178	2	0.00182648401826484
RFT1	5299	9	0.00821917808219178	3	0.00273972602739726
PSD4	5300	9	0.00821917808219178	1	0.00091324200913242
ENPP7	5301	9	0.00821917808219178	2	0.00182648401826484
ABCC5	5302	9	0.00821917808219178	1	0.00091324200913242
PTPRG	5303	9	0.00821917808219178	1	0.00091324200913242
BRDT	5304	9	0.00821917808219178	2	0.00182648401826484
NUDT16L1	5305	9	0.00821917808219178	2	0.00182648401826484
ADAR	5306	9	0.00821917808219178	1	0.00091324200913242
EN2	5307	9	0.00821917808219178	1	0.00091324200913242
IRF2	5308	9	0.00821917808219178	3	0.00273972602739726
NAB1	5309	9	0.00821917808219178	1	0.00091324200913242
CDCA2	5310	9	0.00821917808219178	0	0
CEACAM19	5311	9	0.00821917808219178	1	0.00091324200913242
SH2D4B	5312	9	0.00821917808219178	1	0.00091324200913242
NEK9	5313	9	0.00821917808219178	2	0.00182648401826484
SORBS3	5314	9	0.00821917808219178	1	0.00091324200913242
SFXN4	5315	9	0.00821917808219178	1	0.00091324200913242
C10ORF90	5316	9	0.00821917808219178	2	0.00182648401826484
RSF1	5317	9	0.00821917808219178	0	0
SLC25A31	5318	9	0.00821917808219178	3	0.00273972602739726
ZSCAN20	5319	9	0.00821917808219178	0	0
SERPINA3	5320	9	0.00821917808219178	1	0.00091324200913242
SLC25A23	5321	9	0.00821917808219178	0	0
MAPK4	5322	9	0.00821917808219178	1	0.00091324200913242
LAPTM4B	5323	9	0.00821917808219178	2	0.00182648401826484
SDHA	5324	9	0.00821917808219178	1	0.00091324200913242
ZNF280D	5325	9	0.00821917808219178	1	0.00091324200913242
HSPB6	5326	9	0.00821917808219178	2	0.00182648401826484
MALT1	5327	9	0.00821917808219178	2	0.00182648401826484
LRTOMT	5328	9	0.00821917808219178	1	0.00091324200913242
FBLIM1	5329	9	0.00821917808219178	0	0
ZFP37	5330	9	0.00821917808219178	0	0
TMC2	5331	9	0.00821917808219178	1	0.00091324200913242
URI1	5332	9	0.00821917808219178	5	0.0045662100456621
LSG1	5333	9	0.00821917808219178	1	0.00091324200913242
KHK	5334	9	0.00821917808219178	2	0.00182648401826484
ZIC4	5335	9	0.00821917808219178	1	0.00091324200913242
ITGB7	5336	9	0.00821917808219178	2	0.00182648401826484
ACCS	5337	9	0.00821917808219178	3	0.00273972602739726
YY1AP1	5338	9	0.00821917808219178	2	0.00182648401826484
EXOC3L2	5339	9	0.00821917808219178	1	0.00091324200913242
ARSB	5340	9	0.00821917808219178	1	0.00091324200913242
OVOL2	5341	9	0.00821917808219178	0	0
RDH16	5342	9	0.00821917808219178	0	0
CINP	5343	9	0.00821917808219178	1	0.00091324200913242
ARRDC4	5344	9	0.00821917808219178	0	0
LEMD3	5345	9	0.00821917808219178	0	0
CNOT10	5346	9	0.00821917808219178	0	0
CSRNP3	5347	9	0.00821917808219178	1	0.00091324200913242
CLDN19	5348	9	0.00821917808219178	2	0.00182648401826484
ASGR2	5349	9	0.00821917808219178	2	0.00182648401826484
OR5M8	5350	9	0.00821917808219178	2	0.00182648401826484
B3GNT4	5351	9	0.00821917808219178	2	0.00182648401826484
FGA	5352	9	0.00821917808219178	0	0
FIGNL1	5353	9	0.00821917808219178	1	0.00091324200913242
ZNF71	5354	9	0.00821917808219178	0	0
SNX30	5355	9	0.00821917808219178	2	0.00182648401826484
PDZRN4	5356	9	0.00821917808219178	0	0
C7ORF26	5357	9	0.00821917808219178	0	0
SLC25A19	5358	9	0.00821917808219178	1	0.00091324200913242
FAM43A	5359	9	0.00821917808219178	1	0.00091324200913242
WDR76	5360	9	0.00821917808219178	2	0.00182648401826484
SPSB3	5361	9	0.00821917808219178	1	0.00091324200913242
GLB1L3	5362	9	0.00821917808219178	0	0
TBCK	5363	9	0.00821917808219178	1	0.00091324200913242
DIS3L	5364	9	0.00821917808219178	0	0
TEPP	5365	9	0.00821917808219178	0	0
DHX36	5366	9	0.00821917808219178	0	0
C1ORF168	5367	9	0.00821917808219178	0	0
ZNF600	5368	9	0.00821917808219178	1	0.00091324200913242
B3GAT1	5369	9	0.00821917808219178	1	0.00091324200913242
CCDC166	5370	9	0.00821917808219178	2	0.00182648401826484
GLE1	5371	9	0.00821917808219178	0	0
SLC35D2	5372	9	0.00821917808219178	0	0
MPP4	5373	9	0.00821917808219178	2	0.00182648401826484
ESRRA	5374	9	0.00821917808219178	2	0.00182648401826484
PHF16	5375	9	0.00821917808219178	0	0
FAM47B	5376	9	0.00821917808219178	0	0
VASH1	5377	9	0.00821917808219178	0	0
RIMBP3	5378	9	0.00821917808219178	3	0.00273972602739726
USP4	5379	9	0.00821917808219178	0	0
ERCC1	5380	9	0.00821917808219178	3	0.00273972602739726
EPB49	5381	9	0.00821917808219178	2	0.00182648401826484
IGFLR1	5382	9	0.00821917808219178	1	0.00091324200913242
SCCPDH	5383	9	0.00821917808219178	0	0
NARFL	5384	9	0.00821917808219178	1	0.00091324200913242
SPATC1	5385	9	0.00821917808219178	2	0.00182648401826484
MFAP3L	5386	9	0.00821917808219178	1	0.00091324200913242
TMEM259	5387	9	0.00821917808219178	2	0.00182648401826484
ARID2	5388	9	0.00821917808219178	1	0.00091324200913242
CTSF	5389	9	0.00821917808219178	3	0.00273972602739726
WWP1	5390	9	0.00821917808219178	0	0
ZNF862	5391	9	0.00821917808219178	1	0.00091324200913242
ZNF44	5392	9	0.00821917808219178	0	0
IRX6	5393	9	0.00821917808219178	0	0
LSM14B	5394	9	0.00821917808219178	2	0.00182648401826484
FAM102A	5395	9	0.00821917808219178	1	0.00091324200913242
NEUROD2	5396	9	0.00821917808219178	0	0
RNF216	5397	9	0.00821917808219178	0	0
FBXW10	5398	9	0.00821917808219178	1	0.00091324200913242
DOK1	5399	9	0.00821917808219178	1	0.00091324200913242
NPHS2	5400	9	0.00821917808219178	3	0.00273972602739726
ARHGEF15	5401	9	0.00821917808219178	0	0
SLC39A13	5402	9	0.00821917808219178	1	0.00091324200913242
CCDC38	5403	9	0.00821917808219178	4	0.00365296803652968
KIF27	5404	9	0.00821917808219178	1	0.00091324200913242
MYCN	5405	9	0.00821917808219178	0	0
GUSB	5406	9	0.00821917808219178	1	0.00091324200913242
FOXB2	5407	9	0.00821917808219178	1	0.00091324200913242
EXTL3	5408	9	0.00821917808219178	0	0
CHCHD10	5409	9	0.00821917808219178	0	0
ARFGAP3	5410	9	0.00821917808219178	0	0
TCTE1	5411	9	0.00821917808219178	2	0.00182648401826484
GJC2	5412	9	0.00821917808219178	1	0.00091324200913242
PDCD1	5413	9	0.00821917808219178	0	0
FGD3	5414	9	0.00821917808219178	1	0.00091324200913242
GHRHR	5415	9	0.00821917808219178	1	0.00091324200913242
CD22	5416	9	0.00821917808219178	1	0.00091324200913242
ANKRD33	5417	9	0.00821917808219178	1	0.00091324200913242
GABBR2	5418	9	0.00821917808219178	1	0.00091324200913242
ANKRD32	5419	9	0.00821917808219178	1	0.00091324200913242
SEC24A	5420	9	0.00821917808219178	1	0.00091324200913242
CIB4	5421	9	0.00821917808219178	0	0
HAP1	5422	9	0.00821917808219178	2	0.00182648401826484
EPHB2	5423	9	0.00821917808219178	2	0.00182648401826484
POLA2	5424	9	0.00821917808219178	1	0.00091324200913242
RANBP9	5425	9	0.00821917808219178	3	0.00273972602739726
ENPP3	5426	9	0.00821917808219178	0	0
AOC2	5427	9	0.00821917808219178	0	0
KRT75	5428	9	0.00821917808219178	1	0.00091324200913242
CLPB	5429	9	0.00821917808219178	1	0.00091324200913242
ARSF	5430	9	0.00821917808219178	2	0.00182648401826484
FGFBP3	5431	9	0.00821917808219178	0	0
KIAA1430	5432	9	0.00821917808219178	1	0.00091324200913242
MXD4	5433	9	0.00821917808219178	1	0.00091324200913242
ZFP69B	5434	9	0.00821917808219178	1	0.00091324200913242
LAG3	5435	9	0.00821917808219178	1	0.00091324200913242
PPIG	5436	9	0.00821917808219178	1	0.00091324200913242
MRE11A	5437	9	0.00821917808219178	2	0.00182648401826484
STBD1	5438	9	0.00821917808219178	1	0.00091324200913242
WIPF3	5439	9	0.00821917808219178	1	0.00091324200913242
FAM110A	5440	9	0.00821917808219178	1	0.00091324200913242
WDR24	5441	9	0.00821917808219178	1	0.00091324200913242
TMTC3	5442	9	0.00821917808219178	2	0.00182648401826484
PDE8A	5443	9	0.00821917808219178	0	0
PPP1R3B	5444	9	0.00821917808219178	3	0.00273972602739726
FGFR2	5445	9	0.00821917808219178	2	0.00182648401826484
ZNF234	5446	9	0.00821917808219178	0	0
ARFGAP2	5447	9	0.00821917808219178	0	0
DIS3	5448	9	0.00821917808219178	0	0
ZNF829	5449	9	0.00821917808219178	0	0
SLC7A8	5450	9	0.00821917808219178	1	0.00091324200913242
SPATA7	5451	9	0.00821917808219178	3	0.00273972602739726
FAM151A	5452	9	0.00821917808219178	4	0.00365296803652968
FERMT2	5453	9	0.00821917808219178	1	0.00091324200913242
C2CD5	5454	9	0.00821917808219178	4	0.00365296803652968
M1AP	5455	9	0.00821917808219178	1	0.00091324200913242
PCDHGA2	5456	9	0.00821917808219178	1	0.00091324200913242
RARA	5457	9	0.00821917808219178	0	0
TMEM158	5458	9	0.00821917808219178	1	0.00091324200913242
ANKRD16	5459	9	0.00821917808219178	0	0
CARM1	5460	9	0.00821917808219178	1	0.00091324200913242
TRIM21	5461	9	0.00821917808219178	1	0.00091324200913242
WDR25	5462	9	0.00821917808219178	0	0
TAS1R1	5463	9	0.00821917808219178	3	0.00273972602739726
BANP	5464	9	0.00821917808219178	0	0
KLHL40	5465	9	0.00821917808219178	0	0
CYP51A1	5466	9	0.00821917808219178	2	0.00182648401826484
WDR67	5467	9	0.00821917808219178	1	0.00091324200913242
OSBPL11	5468	9	0.00821917808219178	0	0
RPTN	5469	9	0.00821917808219178	2	0.00182648401826484
RAVER2	5470	9	0.00821917808219178	2	0.00182648401826484
PDS5A	5471	9	0.00821917808219178	0	0
ETV5	5472	9	0.00821917808219178	1	0.00091324200913242
IDUA	5473	9	0.00821917808219178	0	0
C10ORF2	5474	9	0.00821917808219178	0	0
ZNF443	5475	9	0.00821917808219178	1	0.00091324200913242
SLC6A9	5476	9	0.00821917808219178	1	0.00091324200913242
OR7G3	5477	9	0.00821917808219178	8	0.00730593607305936
RBM27	5478	9	0.00821917808219178	0	0
GSK3A	5479	9	0.00821917808219178	0	0
TRPC4AP	5480	9	0.00821917808219178	0	0
KBTBD12	5481	9	0.00821917808219178	1	0.00091324200913242
CASK	5482	9	0.00821917808219178	4	0.00365296803652968
FAM155B	5483	9	0.00821917808219178	1	0.00091324200913242
OR51G1	5484	9	0.00821917808219178	1	0.00091324200913242
SNX17	5485	9	0.00821917808219178	0	0
GDF3	5486	9	0.00821917808219178	1	0.00091324200913242
RNF169	5487	9	0.00821917808219178	0	0
KCNK3	5488	9	0.00821917808219178	1	0.00091324200913242
SLC15A2	5489	9	0.00821917808219178	1	0.00091324200913242
ZNF510	5490	9	0.00821917808219178	1	0.00091324200913242
LUZP1	5491	9	0.00821917808219178	1	0.00091324200913242
ANGPT4	5492	9	0.00821917808219178	2	0.00182648401826484
GAS2L1	5493	9	0.00821917808219178	0	0
SLC13A4	5494	9	0.00821917808219178	0	0
RHBDF1	5495	9	0.00821917808219178	1	0.00091324200913242
ATF7	5496	9	0.00821917808219178	2	0.00182648401826484
EPHA4	5497	9	0.00821917808219178	0	0
MED14	5498	9	0.00821917808219178	0	0
TPBG	5499	9	0.00821917808219178	1	0.00091324200913242
AHR	5500	9	0.00821917808219178	0	0
CHMP6	5501	9	0.00821917808219178	0	0
NDUFA13	5502	9	0.00821917808219178	0	0
KIF25	5503	9	0.00821917808219178	1	0.00091324200913242
PACSIN3	5504	9	0.00821917808219178	1	0.00091324200913242
APBA2	5505	9	0.00821917808219178	1	0.00091324200913242
CPVL	5506	9	0.00821917808219178	0	0
SLC38A9	5507	9	0.00821917808219178	0	0
SLC44A5	5508	9	0.00821917808219178	2	0.00182648401826484
PCDHA12	5509	9	0.00821917808219178	0	0
PARVB	5510	9	0.00821917808219178	1	0.00091324200913242
GIMAP6	5511	9	0.00821917808219178	0	0
ZNF18	5512	9	0.00821917808219178	0	0
E2F7	5513	9	0.00821917808219178	0	0
BGN	5514	9	0.00821917808219178	3	0.00273972602739726
THEMIS2	5515	9	0.00821917808219178	0	0
BLK	5516	9	0.00821917808219178	1	0.00091324200913242
C9ORF156	5517	9	0.00821917808219178	0	0
FSD1	5518	9	0.00821917808219178	1	0.00091324200913242
IL18RAP	5519	9	0.00821917808219178	1	0.00091324200913242
TRIM47	5520	9	0.00821917808219178	2	0.00182648401826484
ZNF846	5521	9	0.00821917808219178	4	0.00365296803652968
PES1	5522	9	0.00821917808219178	0	0
PABPN1	5523	9	0.00821917808219178	2	0.00182648401826484
STK10	5524	9	0.00821917808219178	1	0.00091324200913242
PAM	5525	9	0.00821917808219178	1	0.00091324200913242
GRAMD1B	5526	9	0.00821917808219178	1	0.00091324200913242
ZFAND1	5527	9	0.00821917808219178	3	0.00273972602739726
EXD1	5528	9	0.00821917808219178	3	0.00273972602739726
NDUFB7	5529	9	0.00821917808219178	1	0.00091324200913242
DHH	5530	9	0.00821917808219178	1	0.00091324200913242
NKX2-3	5531	9	0.00821917808219178	4	0.00365296803652968
NUDT8	5532	9	0.00821917808219178	0	0
ZSCAN21	5533	9	0.00821917808219178	0	0
TRAK2	5534	9	0.00821917808219178	0	0
SPATA3	5535	9	0.00821917808219178	0	0
TTLL9	5536	9	0.00821917808219178	2	0.00182648401826484
VCX3A	5537	9	0.00821917808219178	1	0.00091324200913242
MPLKIP	5538	9	0.00821917808219178	1	0.00091324200913242
SEMG2	5539	9	0.00821917808219178	1	0.00091324200913242
ATXN1L	5540	9	0.00821917808219178	2	0.00182648401826484
GAS1	5541	9	0.00821917808219178	2	0.00182648401826484
CCDC71L	5542	9	0.00821917808219178	1	0.00091324200913242
GPC3	5543	9	0.00821917808219178	3	0.00273972602739726
SUCLG2	5544	9	0.00821917808219178	1	0.00091324200913242
BNC2	5545	9	0.00821917808219178	0	0
WDR3	5546	9	0.00821917808219178	1	0.00091324200913242
MAP2K3	5547	9	0.00821917808219178	3	0.00273972602739726
PRCC	5548	9	0.00821917808219178	1	0.00091324200913242
CALCOCO1	5549	9	0.00821917808219178	0	0
C11ORF52	5550	9	0.00821917808219178	2	0.00182648401826484
PTGER3	5551	9	0.00821917808219178	1	0.00091324200913242
ZNF416	5552	9	0.00821917808219178	0	0
ZNF225	5553	9	0.00821917808219178	1	0.00091324200913242
NUBP2	5554	9	0.00821917808219178	0	0
RECQL	5555	9	0.00821917808219178	3	0.00273972602739726
L3MBTL2	5556	9	0.00821917808219178	0	0
KIAA2022	5557	9	0.00821917808219178	0	0
WASH1	5558	9	0.00821917808219178	3	0.00273972602739726
DIAPH2	5559	9	0.00821917808219178	0	0
FAM5B	5560	9	0.00821917808219178	0	0
DCBLD2	5561	9	0.00821917808219178	0	0
ZNF648	5562	9	0.00821917808219178	0	0
DRAXIN	5563	9	0.00821917808219178	1	0.00091324200913242
PCDHGA7	5564	9	0.00821917808219178	1	0.00091324200913242
JAKMIP2	5565	9	0.00821917808219178	1	0.00091324200913242
FGB	5566	9	0.00821917808219178	0	0
NACC2	5567	9	0.00821917808219178	1	0.00091324200913242
HIRA	5568	9	0.00821917808219178	2	0.00182648401826484
ISL2	5569	9	0.00821917808219178	0	0
PCDHB11	5570	9	0.00821917808219178	2	0.00182648401826484
CCNL2	5571	9	0.00821917808219178	1	0.00091324200913242
ABCE1	5572	9	0.00821917808219178	1	0.00091324200913242
SPHK1	5573	9	0.00821917808219178	1	0.00091324200913242
ZNF259	5574	9	0.00821917808219178	1	0.00091324200913242
RNF187	5575	9	0.00821917808219178	0	0
OR2T2	5576	9	0.00821917808219178	4	0.00365296803652968
USP45	5577	9	0.00821917808219178	4	0.00365296803652968
PRKAG2	5578	9	0.00821917808219178	1	0.00091324200913242
ZBTB39	5579	9	0.00821917808219178	0	0
BUB1	5580	9	0.00821917808219178	0	0
CDC7	5581	9	0.00821917808219178	2	0.00182648401826484
SH3RF2	5582	9	0.00821917808219178	1	0.00091324200913242
MFSD2B	5583	9	0.00821917808219178	0	0
SH3BP5L	5584	9	0.00821917808219178	0	0
AIFM2	5585	9	0.00821917808219178	1	0.00091324200913242
TBC1D30	5586	9	0.00821917808219178	0	0
OR10G8	5587	9	0.00821917808219178	1	0.00091324200913242
ERBB3	5588	9	0.00821917808219178	0	0
CALHM3	5589	9	0.00821917808219178	1	0.00091324200913242
MRPS5	5590	9	0.00821917808219178	1	0.00091324200913242
C1ORF65	5591	9	0.00821917808219178	0	0
GPR50	5592	9	0.00821917808219178	1	0.00091324200913242
TNS4	5593	9	0.00821917808219178	1	0.00091324200913242
IRX2	5594	9	0.00821917808219178	1	0.00091324200913242
FAM188B	5595	9	0.00821917808219178	1	0.00091324200913242
SPNS3	5596	9	0.00821917808219178	0	0
KHSRP	5597	9	0.00821917808219178	2	0.00182648401826484
ACSF3	5598	9	0.00821917808219178	2	0.00182648401826484
ALOX12B	5599	9	0.00821917808219178	2	0.00182648401826484
THOC6	5600	9	0.00821917808219178	0	0
ZFP64	5601	9	0.00821917808219178	0	0
DNASE1L2	5602	9	0.00821917808219178	2	0.00182648401826484
MLH3	5603	9	0.00821917808219178	0	0
MBD3	5604	9	0.00821917808219178	3	0.00273972602739726
PLEKHS1	5605	9	0.00821917808219178	1	0.00091324200913242
ME3	5606	9	0.00821917808219178	0	0
CASC1	5607	9	0.00821917808219178	5	0.0045662100456621
SEPT1	5608	9	0.00821917808219178	1	0.00091324200913242
CYP2B6	5609	9	0.00821917808219178	1	0.00091324200913242
ZNF77	5610	9	0.00821917808219178	1	0.00091324200913242
SLFN5	5611	9	0.00821917808219178	0	0
ARSE	5612	9	0.00821917808219178	1	0.00091324200913242
GP5	5613	9	0.00821917808219178	0	0
TMEM132B	5614	9	0.00821917808219178	0	0
FOXD4	5615	9	0.00821917808219178	0	0
PPP1R18	5616	9	0.00821917808219178	1	0.00091324200913242
YTHDC1	5617	9	0.00821917808219178	3	0.00273972602739726
TMF1	5618	9	0.00821917808219178	1	0.00091324200913242
DAAM1	5619	9	0.00821917808219178	3	0.00273972602739726
ACSM2B	5620	9	0.00821917808219178	1	0.00091324200913242
NPTXR	5621	9	0.00821917808219178	0	0
PDE12	5622	9	0.00821917808219178	2	0.00182648401826484
MPL	5623	9	0.00821917808219178	0	0
HOXD11	5624	9	0.00821917808219178	0	0
TMEM235	5625	9	0.00821917808219178	1	0.00091324200913242
ALDH3A2	5626	9	0.00821917808219178	3	0.00273972602739726
P4HA3	5627	9	0.00821917808219178	0	0
MRGPRF	5628	9	0.00821917808219178	1	0.00091324200913242
MIOX	5629	9	0.00821917808219178	1	0.00091324200913242
ATAD3B	5630	9	0.00821917808219178	1	0.00091324200913242
KDELC1	5631	9	0.00821917808219178	1	0.00091324200913242
ZNF320	5632	9	0.00821917808219178	0	0
PAEP	5633	9	0.00821917808219178	3	0.00273972602739726
ECE1	5634	9	0.00821917808219178	1	0.00091324200913242
KRT83	5635	9	0.00821917808219178	0	0
DNA2	5636	9	0.00821917808219178	0	0
SIK2	5637	9	0.00821917808219178	0	0
FAM53A	5638	9	0.00821917808219178	0	0
DRP2	5639	9	0.00821917808219178	1	0.00091324200913242
CEP68	5640	9	0.00821917808219178	0	0
SPERT	5641	9	0.00821917808219178	0	0
NLGN3	5642	9	0.00821917808219178	0	0
ELL3	5643	9	0.00821917808219178	0	0
NUFIP1	5644	9	0.00821917808219178	0	0
FILIP1	5645	9	0.00821917808219178	1	0.00091324200913242
COLEC12	5646	9	0.00821917808219178	0	0
IGSF21	5647	9	0.00821917808219178	1	0.00091324200913242
BEST3	5648	9	0.00821917808219178	1	0.00091324200913242
DOC2A	5649	9	0.00821917808219178	1	0.00091324200913242
COPB2	5650	9	0.00821917808219178	3	0.00273972602739726
MCCC1	5651	9	0.00821917808219178	1	0.00091324200913242
FOXC2	5652	9	0.00821917808219178	1	0.00091324200913242
FAAH2	5653	9	0.00821917808219178	0	0
CYP27B1	5654	9	0.00821917808219178	2	0.00182648401826484
GPBAR1	5655	9	0.00821917808219178	0	0
CTSE	5656	9	0.00821917808219178	3	0.00273972602739726
CD163L1	5657	9	0.00821917808219178	1	0.00091324200913242
NLRP11	5658	9	0.00821917808219178	2	0.00182648401826484
RGL2	5659	9	0.00821917808219178	2	0.00182648401826484
SOCS1	5660	9	0.00821917808219178	1	0.00091324200913242
RAPGEF2	5661	9	0.00821917808219178	0	0
SUCO	5662	9	0.00821917808219178	0	0
PPIP5K2	5663	9	0.00821917808219178	1	0.00091324200913242
ZNF671	5664	9	0.00821917808219178	1	0.00091324200913242
CTSA	5665	9	0.00821917808219178	8	0.00730593607305936
MTIF2	5666	9	0.00821917808219178	1	0.00091324200913242
PCDHB5	5667	9	0.00821917808219178	0	0
LPIN1	5668	9	0.00821917808219178	0	0
HCRT	5669	9	0.00821917808219178	0	0
APRT	5670	9	0.00821917808219178	1	0.00091324200913242
ZCWPW2	5671	9	0.00821917808219178	0	0
ARTN	5672	9	0.00821917808219178	3	0.00273972602739726
ADRA2C	5673	9	0.00821917808219178	2	0.00182648401826484
PAX4	5674	9	0.00821917808219178	0	0
CEP135	5675	9	0.00821917808219178	2	0.00182648401826484
GPR116	5676	9	0.00821917808219178	0	0
HPS6	5677	9	0.00821917808219178	1	0.00091324200913242
ZNF749	5678	9	0.00821917808219178	3	0.00273972602739726
TTBK2	5679	9	0.00821917808219178	1	0.00091324200913242
ABHD15	5680	9	0.00821917808219178	3	0.00273972602739726
CHST13	5681	9	0.00821917808219178	0	0
ARHGAP28	5682	9	0.00821917808219178	0	0
INO80E	5683	9	0.00821917808219178	5	0.0045662100456621
AOC3	5684	9	0.00821917808219178	2	0.00182648401826484
LMOD1	5685	9	0.00821917808219178	1	0.00091324200913242
STXBP5	5686	9	0.00821917808219178	1	0.00091324200913242
WRAP73	5687	9	0.00821917808219178	1	0.00091324200913242
CYP4A11	5688	9	0.00821917808219178	0	0
HAUS8	5689	9	0.00821917808219178	0	0
SLC35E2B	5690	9	0.00821917808219178	1	0.00091324200913242
SNTB2	5691	9	0.00821917808219178	0	0
EFHC2	5692	9	0.00821917808219178	1	0.00091324200913242
KCNK4	5693	9	0.00821917808219178	0	0
TROAP	5694	9	0.00821917808219178	3	0.00273972602739726
FAM86B2	5695	9	0.00821917808219178	0	0
MOXD1	5696	9	0.00821917808219178	0	0
ACAD9	5697	9	0.00821917808219178	1	0.00091324200913242
PLA2G15	5698	9	0.00821917808219178	0	0
ZKSCAN5	5699	9	0.00821917808219178	1	0.00091324200913242
CAGE1	5700	9	0.00821917808219178	1	0.00091324200913242
ESF1	5701	9	0.00821917808219178	0	0
AP4S1	5702	9	0.00821917808219178	1	0.00091324200913242
KIF15	5703	9	0.00821917808219178	3	0.00273972602739726
ZNF180	5704	9	0.00821917808219178	1	0.00091324200913242
SLC46A1	5705	9	0.00821917808219178	0	0
ABHD11	5706	9	0.00821917808219178	0	0
SMTNL1	5707	9	0.00821917808219178	0	0
STAC	5708	9	0.00821917808219178	0	0
FAM114A1	5709	9	0.00821917808219178	3	0.00273972602739726
SOX11	5710	9	0.00821917808219178	2	0.00182648401826484
PDE8B	5711	9	0.00821917808219178	1	0.00091324200913242
RUSC1-AS1	5712	9	0.00821917808219178	0	0
ADH6	5713	9	0.00821917808219178	0	0
TULP3	5714	9	0.00821917808219178	0	0
